specie,X,Y
Msch,-285108,8074411
Msch,-285108,8074411
Msch,-277274,8037902
Msch,-289004,8092111
Msch,-289004,8092111
Msch,-287052,8125651
Msch,-285066,8073297
Msch,-285066,8073297
Msch,-285066,8073297
Msch,-285066,8073297
Msch,-285833,8093348
Msch,-285833,8093348
Msch,-285833,8093348
Msch,-285833,8093348
Msch,-291161,8037359
Msch,-291161,8037359
Msch,-291161,8037359
Msch,-291161,8037359
Msch,-291161,8037359
Msch,-325915,8157653
Msch,-325915,8157653
Msch,-325915,8157653
Msch,-219152,7885191
Msch,-219152,7885191
Msch,-219152,7885191
Msch,-219152,7885191
Msch,-219152,7885191
Msch,-321892,8193527
Msch,-277107,8061332
Msch,-261611.0531,8076415.315
Msch,-259471.5121,8076494.887
Msch,-283995.4698,8073338.251
Msch,-283995.4698,8073338.251
Msch,-285108.3764,8074411.042
Msch,-285108.3764,8074411.042
Msch,-285108.3764,8074411.042
Msch,-272915.1373,8063723.173
Msch,-272915.1373,8063723.173
Msch,-272872.7427,8062609.503
Msch,-275096.3647,8064755.377
Msch,-271803.4635,8062650.191
Msch,-274026.9266,8064796.139
Msch,-275096.3647,8064755.377
Msch,-275096.3647,8064755.377
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-307498.0915,8071306.202
Msch,-299435.352,8057116.878
Msch,-299435.352,8057116.878
Msch,-300504.9095,8057074.61
Msch,-289518.865,8022918.784
Msch,-295034.7603,8027162.335
Msch,-295034.7603,8027162.335
Msch,-289518.865,8022918.784
Msch,-295034.7603,8027162.335
Msch,-295034.7603,8027162.335
Msch,-295034.7603,8027162.335
Msch,-295034.7603,8027162.335
Msch,-292677.0145,8021677.199
Msch,-292677.0145,8021677.199
Msch,-293833.5588,8023862.703
Msch,-292677.0145,8021677.199
Msch,-293833.5588,8023862.703
Msch,-295034.7603,8027162.335
